simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
颁布,bānbù,to promulgate,ban hành,verb,6,颁布法令。,Ban hành pháp lệnh.
颁发,bānfā,to award,trao,verb,6,颁发证书。,Trao chứng chỉ.
版本,bǎnběn,version,phiên bản,noun,6,软件版本。,Phiên bản phần mềm.
半途而废,bàntúérfèi,to give up halfway,bỏ dở nửa chừng,idiom,6,不要半途而废。,Đừng bỏ dở nửa chừng.
扮演,bànyǎn,to play the role,đóng vai,verb,6,扮演角色。,Đóng vai trò.
榜样,bǎngyàng,example,tấm gương,noun,6,树立榜样。,Nêu gương.
傍晚,bàngwǎn,evening,chiều tối,noun,6,傍晚时分。,Lúc chiều tối.
包庇,bāobì,to harbor,che chở,verb,6,包庇犯罪。,Che chở tội phạm.
包装,bāozhuāng,packaging,bao bì,noun,6,产品包装。,Bao bì sản phẩm.
饱满,bǎomǎn,full,đầy đặn,adjective,6,精神饱满。,Tinh thần đầy đặn.
宝物,bǎowù,treasure,bảo vật,noun,6,珍贵宝物。,Bảo vật quý giá.
宝贵,bǎoguì,precious,quý báu,adjective,6,宝贵经验。,Kinh nghiệm quý báu.
保持,bǎochí,to maintain,duy trì,verb,6,保持联系。,Duy trì liên lạc.
保存,bǎocún,to preserve,bảo tồn,verb,6,保存文件。,Bảo tồn tài liệu.
保密,bǎomì,to keep secret,bảo mật,verb,6,保密协议。,Thỏa thuận bảo mật.
保守,bǎoshǒu,conservative,bảo thủ,adjective,6,保守派。,Phe bảo thủ.
保险,bǎoxiǎn,insurance,bảo hiểm,noun,6,人寿保险。,Bảo hiểm nhân thọ.
保养,bǎoyǎng,to maintain,bảo dưỡng,verb,6,保养汽车。,Bảo dưỡng xe hơi.
保障,bǎozhàng,to ensure,bảo đảm,verb,6,保障安全。,Bảo đảm an toàn.
保证,bǎozhèng,to guarantee,bảo đảm,verb,6,保证质量。,Bảo đảm chất lượng.
报酬,bàochou,reward,thù lao,noun,6,获得报酬。,Nhận thù lao.
报道,bàodào,to report,đưa tin,verb,6,新闻报道。,Tin tức báo chí.
报复,bàofù,to retaliate,trả thù,verb,6,报复行动。,Hành động trả thù.
报告,bàogào,report,báo cáo,noun,6,提交报告。,Nộp báo cáo.
报考,bàokǎo,to register for exam,đăng ký thi,verb,6,报考大学。,Đăng ký thi đại học.
报社,bàoshè,newspaper office,tòa báo,noun,6,在报社工作。,Làm việc ở tòa báo.
报销,bàoxiāo,to reimburse,thanh toán,verb,6,报销费用。,Thanh toán chi phí.
抱怨,bàoyuàn,to complain,phàn nàn,verb,6,抱怨天气。,Phàn nàn thời tiết.
暴露,bàolù,to expose,bộc lộ,verb,6,暴露问题。,Bộc lộ vấn đề.
爆发,bàofā,to erupt,nổ ra,verb,6,战争爆发。,Chiến tranh nổ ra.
悲剧,bēijù,tragedy,bi kịch,noun,6,人间悲剧。,Bi kịch nhân gian.
备忘录,bèiwànglù,memo,sổ ghi nhớ,noun,6,写备忘录。,Viết sổ ghi nhớ.
背叛,bèipàn,to betray,phản bội,verb,6,背叛祖国。,Phản bội tổ quốc.
被动,bèidòng,passive,bị động,adjective,6,被动局面。,Cục diện bị động.
被告,bèigào,the accused,bị cáo,noun,6,被告律师。,Luật sư bị cáo.
奔波,bēnbō,to rush about,chạy vạy,verb,6,四处奔波。,Chạy vạy khắp nơi.
奔驰,bēnchí,to speed,phóng nhanh,verb,6,奔驰的火车。,Tàu hỏa phóng nhanh.
本能,běnnéng,instinct,bản năng,noun,6,本能反应。,Phản ứng bản năng.
崩溃,bēngkuì,to collapse,sụp đổ,verb,6,精神崩溃。,Tinh thần sụp đổ.
逼迫,bīpò,to compel,ép buộc,verb,6,逼迫投降。,Ép buộc đầu hàng.
鼻涕,bítì,nasal mucus,nước mũi,noun,6,流鼻涕。,Chảy nước mũi.
比方,bǐfang,for example,ví dụ,verb,6,比方说。,Ví dụ như.
鄙视,bǐshì,to despise,khinh bỉ,verb,6,鄙视行为。,Hành vi khinh bỉ.
毕竟,bìjìng,after all,rốt cuộc,adverb,6,毕竟是孩子。,Rốt cuộc là trẻ con.
闭幕,bìmù,to close,bế mạc,verb,6,闭幕式。,Lễ bế mạc.
弊端,bìduān,drawback,tệ nạn,noun,6,社会弊端。,Tệ nạn xã hội.
边缘,biānyuán,edge,rìa,noun,6,城市边缘。,Rìa thành phố.
辩论,biànlùn,to debate,tranh luận,verb,6,辩论赛。,Cuộc thi tranh luận.
变迁,biànqiān,changes,biến thiên,noun,6,时代变迁。,Biến thiên thời đại.
辨别,biànbié,to distinguish,phân biệt,verb,6,辨别真假。,Phân biệt thật giả.
辩护,biànhù,to defend,biện hộ,verb,6,辩护律师。,Luật sư biện hộ.
标签,biāoqiān,label,nhãn,noun,6,价格标签。,Nhãn giá.
标本,biāoběn,specimen,mẫu vật,noun,6,植物标本。,Mẫu vật thực vật.
标记,biāojì,mark,đánh dấu,verb,6,做标记。,Đánh dấu.
标准,biāozhǔn,standard,tiêu chuẩn,noun,6,质量标准。,Tiêu chuẩn chất lượng.
表达,biǎodá,to express,biểu đạt,verb,6,表达方式。,Cách biểu đạt.
表格,biǎogé,form,biểu mẫu,noun,6,填写表格。,Điền biểu mẫu.
表决,biǎojué,to vote,biểu quyết,verb,6,举手表决。,Giơ tay biểu quyết.
表面,biǎomiàn,surface,bề mặt,noun,6,表面现象。,Hiện tượng bề mặt.
表明,biǎomíng,to indicate,chỉ rõ,verb,6,表明态度。,Chỉ rõ thái độ.
病人,bìngrén,patient,bệnh nhân,noun,6,病人需要休息。,Bệnh nhân cần nghỉ ngơi.
并非,bìngfēi,not at all,không phải,verb,6,并非如此。,Không phải như vậy.
拨款,bōkuǎn,to allocate funds,cấp vốn,verb,6,政府拨款。,Chính phủ cấp vốn.
波浪,bōlàng,wave,sóng,noun,6,波浪起伏。,Sóng nhấp nhô.
剥削,bōxuē,exploitation,bóc lột,noun,6,反对剥削。,Chống bóc lột.
播种,bōzhǒng,to sow,gieo hạt,verb,6,春天播种。,Mùa xuân gieo hạt.
薄弱,bóruò,weak,yếu ớt,adjective,6,意志薄弱。,Ý chí yếu ớt.
博物馆,bówùguǎn,museum,bảo tàng,noun,6,参观博物馆。,Tham quan bảo tàng.
补偿,bǔcháng,to compensate,đền bù,verb,6,经济补偿。,Đền bù kinh tế.
补充,bǔchōng,to supplement,bổ sung,verb,6,补充营养。,Bổ sung dinh dưỡng.
补贴,bǔtiē,subsidy,trợ cấp,noun,6,生活补贴。,Trợ cấp sinh hoạt.
不安,bù'ān,uneasy,bất an,adjective,6,忐忑不安。,Bất an.
不错,bùcuò,not bad,không tồi,adjective,6,很不错。,Không tồi.
不得了,bùdéliǎo,terrible,không thể chịu nổi,adjective,6,热得不得了。,Nóng không chịu nổi.
不敢当,bùgǎndāng,I don't deserve that,không dám nhận,phrase,6,您过奖了，不敢当。,Anh quá khen rồi.
不忍心,bùrěnxīn,cannot bear to,không nỡ,verb,6,不忍心拒绝。,Không nỡ từ chối.
不同,bùtóng,different,khác nhau,adjective,6,不同意见。,Ý kiến khác nhau.
不知不觉,bùzhībùjué,unconsciously,vô thức,idiom,6,不知不觉天黑了。,Vô thức trời tối.
布局,bùjú,layout,bố cục,noun,6,城市布局。,Bố cục thành phố.
布置,bùzhì,to arrange,bố trí,verb,6,布置房间。,Bố trí phòng.
裁判,cáipàn,referee,trọng tài,noun,6,足球裁判。,Trọng tài bóng đá.
才干,cáigàn,ability,tài năng,noun,6,有才干。,Có tài năng.
材料,cáiliào,material,tài liệu,noun,6,准备材料。,Chuẩn bị tài liệu.
财产,cáichǎn,property,tài sản,noun,6,保护财产。,Bảo vệ tài sản.
