simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
镜子,jìngzi,mirror,gương,noun,2,照镜子。,Soi gương.
钟,zhōng,clock,đồng hồ,noun,2,一个钟。,Một cái đồng hồ.
手表,shǒubiǎo,wristwatch,đồng hồ đeo tay,noun,2,戴手表。,Đeo đồng hồ.
日历,rìlì,calendar,lịch,noun,2,看日历。,Xem lịch.
生日,shēngrì,birthday,sinh nhật,noun,2,生日快乐！,Chúc mừng sinh nhật！
礼物,lǐwù,gift,quà,noun,2,谢谢礼物。,Cảm ơn món quà.
卡片,kǎpiàn,card,thiệp,noun,2,一张卡片。,Một tấm thiệp.
贺卡,hèkǎ,greeting card,thiệp chúc mừng,noun,2,送贺卡。,Tặng thiệp.
节日,jiérì,festival,ngày lễ,noun,2,节日快乐！,Chúc mừng ngày lễ！
新年,xīnnián,new year,năm mới,noun,2,新年快乐！,Chúc mừng năm mới！
春节,chūnjié,Spring Festival,Tết,noun,2,春节快乐！,Chúc mừng năm mới！
圣诞节,shèngdànjié,Christmas,Giáng sinh,noun,2,圣诞节快乐！,Giáng sinh vui vẻ！
生日蛋糕,shēngrìdàngāo,birthday cake,bánh sinh nhật,noun,2,吃生日蛋糕。,Ăn bánh sinh nhật.
礼物,lǐwù,present,quà tặng,noun,2,送礼物。,Tặng quà.
红包,hóngbāo,red envelope,bao lì xì,noun,2,发红包。,Phát bao lì xì.
烟花,yānhuā,fireworks,pháo hoa,noun,2,放烟花。,Đốt pháo hoa.
团圆,tuányuán,reunion,đoàn viên,noun,2,全家团圆。,Cả nhà đoàn viên.
春天,chūntiān,spring,mùa xuân,noun,2,春天来了。,Mùa xuân đến.
夏天,xiàtiān,summer,mùa hè,noun,2,夏天很热。,Mùa hè rất nóng.
秋天,qiūtiān,autumn,mùa thu,noun,2,秋天到了。,Mùa thu đến.
冬天,dōngtiān,winter,mùa đông,noun,2,冬天很冷。,Mùa đông rất lạnh.
季节,jìjié,season,mùa,noun,2,四个季节。,Bốn mùa.
天气,tiānqì,weather,thời tiết,noun,2,天气很好。,Thời tiết tốt.
刮风,guāfēng,windy,có gió,verb,2,刮风了。,Có gió rồi.
下雨,xiàyǔ,rain,mưa,verb,2,下雨了。,Mưa rồi.
下雪,xiàxuě,snow,tuyết,verb,2,下雪了。,Tuyết rơi rồi.
晴天,qíngtiān,sunny,trời nắng,noun,2,今天是晴天。,Hôm nay trời nắng.
阴天,yīntiān,cloudy,trời âm u,noun,2,明天阴天。,Ngày mai trời âm u.
多云,duōyún,cloudy,nhiều mây,adjective,2,多云。,Nhiều mây.
暖和,nuǎnhuo,warm,ấm áp,adjective,2,天气暖和。,Thời tiết ấm áp.
凉快,liángkuai,cool,mát mẻ,adjective,2,很凉快。,Rất mát mẻ.
冷,lěng,cold,lạnh,adjective,2,今天很冷。,Hôm nay rất lạnh.
热,rè,hot,nóng,adjective,2,今天很热。,Hôm nay rất nóng.
潮湿,cháoshī,humid,ẩm ướt,adjective,2,天气潮湿。,Thời tiết ẩm ướt.
干燥,gānzào,dry,khô ráo,adjective,2,天气干燥。,Thời tiết khô ráo.
