simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
负责,fùzé,to be responsible,chịu trách nhiệm,verb,4,负责这个项目。,Chịu trách nhiệm dự án này.
保证,bǎozhèng,to guarantee,đảm bảo,verb,4,保证质量。,Đảm bảo chất lượng.
信任,xìnrèn,to trust,tin tưởng,verb,4,信任朋友。,Tin tưởng bạn bè.
怀疑,huáiyí,to suspect,nghi ngờ,verb,4,怀疑真相。,Nghi ngờ sự thật.
判断,pànduàn,to judge,phán đoán,verb,4,判断对错。,Phán đoán đúng sai.
评价,píngjià,to evaluate,đánh giá,verb,4,评价结果。,Đánh giá kết quả.
重视,zhòngshì,to value,coi trọng,verb,4,重视教育。,Coi trọng giáo dục.
强调,qiángdiào,to emphasize,nhấn mạnh,verb,4,强调重点。,Nhấn mạnh trọng điểm.
总结,zǒngjié,to summarize,tổng kết,verb,4,总结工作。,Tổng kết công việc.
安排,ānpái,to arrange,sắp xếp,verb,4,安排时间。,Sắp xếp thời gian.
处理,chǔlǐ,to handle,xử lý,verb,4,处理问题。,Xử lý vấn đề.
解决,jiějué,to solve,giải quyết,verb,4,解决问题。,Giải quyết vấn đề.
面对,miànduì,to face,đối mặt,verb,4,面对困难。,Đối mặt khó khăn.
克服,kèfú,to overcome,vượt qua,verb,4,克服困难。,Vượt qua khó khăn.
缺乏,quēfá,to lack,thiếu,verb,4,缺乏经验。,Thiếu kinh nghiệm.
充满,chōngmǎn,to be full of,đầy,verb,4,充满信心。,Đầy tự tin.
满足,mǎnzú,to satisfy,thỏa mãn,verb,4,满足需要。,Thỏa mãn nhu cầu.
达到,dádào,to reach,đạt tới,verb,4,达到目标。,Đạt tới mục tiêu.
超过,chāoguò,to exceed,vượt quá,verb,4,超过预期。,Vượt quá dự kiến.
符合,fúhé,to conform,phù hợp,verb,4,符合要求。,Phù hợp yêu cầu.
适合,shìhé,to suit,thích hợp,verb,4,适合你。,Thích hợp với bạn.
适应,shìyìng,to adapt,thích ứng,verb,4,适应环境。,Thích ứng môi trường.
应用,yìngyòng,to apply,ứng dụng,verb,4,应用技术。,Ứng dụng kỹ thuật.
推广,tuīguǎng,to promote,phổ biến,verb,4,推广产品。,Phổ biến sản phẩm.
实现,shíxiàn,to realize,thực hiện,verb,4,实现梦想。,Thực hiện ước mơ.
完成,wánchéng,to complete,hoàn thành,verb,4,完成作业。,Hoàn thành bài tập.
举办,jǔbàn,to hold (event),tổ chức,verb,4,举办活动。,Tổ chức hoạt động.
开展,kāizhǎn,to develop,triển khai,verb,4,开展工作。,Triển khai công việc.
改革,gǎigé,to reform,cải cách,verb,4,改革开放。,Cải cách mở cửa.
开放,kāifàng,to open up,mở cửa,verb,4,对外开放。,Mở cửa ra bên ngoài.
竞争,jìngzhēng,competition,cạnh tranh,noun,4,市场竞争。,Cạnh tranh thị trường.
挑战,tiǎozhàn,challenge,thử thách,noun,4,接受挑战。,Chấp nhận thử thách.
机遇,jīyù,opportunity,cơ hội,noun,4,抓住机遇。,Nắm bắt cơ hội.
危机,wēijī,crisis,khủng hoảng,noun,4,经济危机。,Khủng hoảng kinh tế.
风险,fēngxiǎn,risk,rủi ro,noun,4,投资风险。,Rủi ro đầu tư.
利润,lìrùn,profit,lợi nhuận,noun,4,获得利润。,Đạt lợi nhuận.
成本,chéngběn,cost,chi phí,noun,4,降低成本。,Giảm chi phí.
投资,tóuzī,investment,đầu tư,noun,4,投资教育。,Đầu tư giáo dục.
消费,xiāofèi,consumption,tiêu dùng,noun,4,促进消费。,Thúc đẩy tiêu dùng.
资源,zīyuán,resource,tài nguyên,noun,4,人力资源。,Tài nguyên nhân lực.
能源,néngyuán,energy,năng lượng,noun,4,节约能源。,Tiết kiệm năng lượng.
环保,huánbǎo,environmental protection,bảo vệ môi trường,noun,4,环保意识。,Ý thức bảo vệ môi trường.
污染,wūrǎn,pollution,ô nhiễm,noun,4,环境污染。,Ô nhiễm môi trường.
垃圾,lājī,garbage,rác,noun,4,垃圾分类。,Phân loại rác.
回收,huíshōu,recycling,thu hồi,verb,4,回收利用。,Tái chế sử dụng.
安全,ānquán,safety,an toàn,adjective,4,安全第一。,An toàn là trên hết.
办理,bànlǐ,to handle,giải quyết,verb,4,办理手续。,Giải quyết thủ tục.
包括,bāokuò,to include,bao gồm,verb,4,包括运费。,Bao gồm phí vận chuyển.
保护,bǎohù,to protect,bảo vệ,verb,4,保护环境。,Bảo vệ môi trường.
保证,bǎozhèng,to guarantee,đảm bảo,verb,4,保证质量。,Đảm bảo chất lượng.
报道,bàodào,to report,đưa tin,verb,4,新闻报道。,Tin tức.
报名,bàomíng,to register,đăng ký,verb,4,报名参加。,Đăng ký tham gia.
比较,bǐjiào,to compare,so sánh,verb,4,比较一下。,So sánh một chút.
表示,biǎoshì,to express,biểu thị,verb,4,表示同意。,Biểu thị đồng ý.
标准,biāozhǔn,standard,tiêu chuẩn,noun,4,质量标准。,Tiêu chuẩn chất lượng.
表达,biǎodá,to express,diễn đạt,verb,4,表达能力。,Khả năng diễn đạt.
必然,bìrán,inevitable,tất yếu,adjective,4,必然结果。,Kết quả tất yếu.
必要,bìyào,necessary,cần thiết,adjective,4,必要条件。,Điều kiện cần thiết.
变化,biànhuà,change,thay đổi,verb,4,气候变化。,Biến đổi khí hậu.
表现,biǎoxiàn,performance,thể hiện,noun,4,表现很好。,Thể hiện tốt.
并且,bìngqiě,furthermore,vả lại,conjunction,4,并且很便宜。,Vả lại rất rẻ.
博士,bóshì,doctor (PhD),tiến sĩ,noun,4,博士学位。,Bằng tiến sĩ.
部分,bùfen,part,bộ phận,noun,4,大部分。,Phần lớn.
材料,cáiliào,material,tài liệu,noun,4,建筑材料。,Vật liệu xây dựng.
采购,cǎigòu,to purchase,mua sắm,verb,4,采购设备。,Mua sắm thiết bị.
参观,cānguān,to visit,tham quan,verb,4,参观博物馆。,Tham quan bảo tàng.
产生,chǎnshēng,to produce,sản sinh,verb,4,产生影响。,Sản sinh ảnh hưởng.
超过,chāoguò,to exceed,vượt quá,verb,4,超过预期。,Vượt quá dự kiến.
成功,chénggōng,success,thành công,noun,4,取得成功。,Đạt được thành công.
成为,chéngwéi,to become,trở thành,verb,4,成为朋友。,Trở thành bạn.
充分,chōngfèn,sufficient,đầy đủ,adjective,4,充分准备。,Chuẩn bị đầy đủ.
充满,chōngmǎn,to be full of,tràn đầy,verb,4,充满信心。,Tràn đầy tự tin.
抽象,chōuxiàng,abstract,trừu tượng,adjective,4,抽象概念。,Khái niệm trừu tượng.
出口,chūkǒu,export,xuất khẩu,verb,4,出口商品。,Xuất khẩu hàng hóa.
处理,chǔlǐ,to handle,xử lý,verb,4,处理问题。,Xử lý vấn đề.
创造,chuàngzào,to create,sáng tạo,verb,4,创造机会。,Tạo cơ hội.
刺激,cìjī,to stimulate,kích thích,verb,4,刺激经济。,Kích thích kinh tế.
存在,cúnzài,to exist,tồn tại,verb,4,存在问题。,Tồn tại vấn đề.
错误,cuòwù,mistake,sai lầm,noun,4,犯错误。,Phạm sai lầm.
达到,dádào,to achieve,đạt được,verb,4,达到目标。,Đạt được mục tiêu.
大量,dàliàng,a large amount,số lượng lớn,adjective,4,大量生产。,Sản xuất số lượng lớn.
单位,dānwèi,unit,đơn vị,noun,4,工作单位。,Đơn vị công tác.
当时,dāngshí,at that time,lúc đó,adverb,4,当时的情况。,Tình hình lúc đó.
导致,dǎozhì,to cause,dẫn đến,verb,4,导致失败。,Dẫn đến thất bại.
道德,dàodé,morality,đạo đức,noun,4,道德标准。,Tiêu chuẩn đạo đức.
道理,dàolǐ,reason,lý lẽ,noun,4,讲道理。,Nói lý lẽ.
登记,dēngjì,to register,đăng ký,verb,4,登记信息。,Đăng ký thông tin.
等待,děngdài,to wait,chờ đợi,verb,4,等待结果。,Chờ kết quả.
地点,dìdiǎn,location,địa điểm,noun,4,集合地点。,Địa điểm tập hợp.
地位,dìwèi,status,địa vị,noun,4,社会地位。,Địa vị xã hội.
地震,dìzhèn,earthquake,động đất,noun,4,发生地震。,Xảy ra động đất.
调查,diàochá,to investigate,điều tra,verb,4,进行调查。,Tiến hành điều tra.
东北,dōngběi,northeast,đông bắc,noun,4,中国东北。,Đông bắc Trung Quốc.
独立,dúlì,independent,độc lập,adjective,4,独立生活。,Sống độc lập.
独特,dútè,unique,độc đáo,adjective,4,独特风格。,Phong cách độc đáo.
对话,duìhuà,dialogue,đối thoại,noun,4,进行对话。,Tiến hành đối thoại.
对面,duìmiàn,opposite,đối diện,noun,4,在对面。,Ở đối diện.
对象,duìxiàng,object/partner,đối tượng,noun,4,找对象。,Tìm đối tượng.
儿子,érzi,son,con trai,noun,4,他的儿子。,Con trai anh ấy.
法律,fǎlǜ,law,pháp luật,noun,4,法律意识。,Ý thức pháp luật.
繁荣,fánróng,prosperous,phồn vinh,adjective,4,繁荣的经济。,Kinh tế phồn vinh.
反对,fǎnduì,to oppose,phản đối,verb,4,反对意见。,Ý kiến phản đối.
反映,fǎnyìng,to reflect,phản ánh,verb,4,反映问题。,Phản ánh vấn đề.
方式,fāngshì,method,phương thức,noun,4,生活方式。,Phương thức sống.
防止,fángzhǐ,to prevent,ngăn chặn,verb,4,防止事故。,Ngăn chặn tai nạn.
访问,fǎngwèn,to visit,thăm hỏi,verb,4,访问客户。,Thăm khách hàng.
放弃,fàngqì,to give up,từ bỏ,verb,4,放弃机会。,Từ bỏ cơ hội.
分析,fēnxī,to analyze,phân tích,verb,4,分析问题。,Phân tích vấn đề.
奋斗,fèndòu,to struggle,phấn đấu,verb,4,奋斗到底。,Phấn đấu đến cùng.
丰富,fēngfù,rich,phong phú,adjective,4,丰富经验。,Kinh nghiệm phong phú.
否则,fǒuzé,otherwise,nếu không,conjunction,4,否则不行。,Nếu không thì không được.
符合,fúhé,to conform,phù hợp,verb,4,符合要求。,Phù hợp yêu cầu.
负担,fùdān,burden,gánh nặng,noun,4,经济负担。,Gánh nặng kinh tế.
复杂,fùzá,complex,phức tạp,adjective,4,很复杂。,Rất phức tạp.
负责,fùzé,to be responsible,chịu trách nhiệm,verb,4,负责项目。,Chịu trách nhiệm dự án.
改革,gǎigé,reform,cải cách,noun,4,改革开放。,Cải cách mở cửa.
改进,gǎijìn,to improve,cải tiến,verb,4,改进技术。,Cải tiến kỹ thuật.
改善,gǎishàn,to improve,cải thiện,verb,4,改善生活。,Cải thiện cuộc sống.
感动,gǎndòng,moved,cảm động,verb,4,很感动。,Rất cảm động.
感觉,gǎnjué,feeling,cảm giác,noun,4,我的感觉。,Cảm giác của tôi.
感情,gǎnqíng,emotion,tình cảm,noun,4,有感情。,Có tình cảm.
感受,gǎnshòu,to experience,cảm nhận,verb,4,感受文化。,Cảm nhận văn hóa.
刚刚,gānggāng,just now,vừa mới,adverb,4,刚刚开始。,Vừa mới bắt đầu.
高度,gāodù,height,chiều cao,noun,4,高度关注。,Quan tâm cao độ.
告诉,gàosu,to tell,nói cho,verb,4,告诉我。,Nói cho tôi.
革命,gémìng,revolution,cách mạng,noun,4,工业革命。,Cách mạng công nghiệp.
个人,gèrén,individual,cá nhân,noun,4,个人意见。,Ý kiến cá nhân.
各个,gègè,each,mỗi,determiner,4,各个方面。,Các mặt.
根本,gēnběn,fundamental,căn bản,adjective,4,根本原因。,Nguyên nhân căn bản.
更加,gèngjiā,more,ngày càng,adverb,4,更加努力。,Ngày càng cố gắng.
工业,gōngyè,industry,công nghiệp,noun,4,工业发展。,Phát triển công nghiệp.
工资,gōngzī,wage,lương,noun,4,提高工资。,Tăng lương.
贡献,gòngxiàn,contribution,cống hiến,noun,4,做出贡献。,Đóng góp.
沟通,gōutōng,to communicate,giao tiếp,verb,4,沟通能力。,Khả năng giao tiếp.
购买,gòumǎi,to purchase,mua,verb,4,购买商品。,Mua hàng hóa.
鼓励,gǔlì,to encourage,khuyến khích,verb,4,鼓励创新。,Khuyến khích sáng tạo.
故意,gùyì,intentionally,cố ý,adverb,4,故意不去。,Cố ý không đi.
关键,guānjiàn,key,then chốt,noun,4,关键问题。,Vấn đề then chốt.
观察,guānchá,to observe,quan sát,verb,4,观察现象。,Quan sát hiện tượng.
观点,guāndiǎn,viewpoint,quan điểm,noun,4,个人观点。,Quan điểm cá nhân.
管理,guǎnlǐ,to manage,quản lý,verb,4,管理人员。,Quản lý nhân viên.
果然,guǒrán,as expected,quả nhiên,adverb,4,果然如此。,Quả nhiên là vậy.
过程,guòchéng,process,quá trình,noun,4,生产过程。,Quá trình sản xuất.
海洋,hǎiyáng,ocean,đại dương,noun,4,海洋资源。,Tài nguyên đại dương.
行业,hángyè,industry,ngành,noun,4,服务行业。,Ngành dịch vụ.
好处,hǎochù,benefit,lợi ích,noun,4,有很多好处。,Có nhiều lợi ích.
核心,héxīn,core,cốt lõi,noun,4,核心价值。,Giá trị cốt lõi.
后果,hòuguǒ,consequence,hậu quả,noun,4,承担后果。,Chịu hậu quả.
忽略,hūlüè,to ignore,bỏ qua,verb,4,忽略细节。,Bỏ qua chi tiết.
护士,hùshi,nurse,y tá,noun,4,护士工作。,Công việc y tá.
怀疑,huáiyí,to doubt,nghi ngờ,verb,4,怀疑真假。,Nghi ngờ thật giả.
回忆,huíyì,to recall,hồi tưởng,verb,4,回忆过去。,Hồi tưởng quá khứ.
活跃,huóyuè,active,năng động,adjective,4,活跃气氛。,Không khí sôi động.
获得,huòdé,to obtain,đạt được,verb,4,获得成功。,Đạt được thành công.
基础,jīchǔ,foundation,cơ sở,noun,4,基础知识。,Kiến thức cơ bản.
积极,jījí,positive,tích cực,adjective,4,积极态度。,Thái độ tích cực.
积累,jīlěi,to accumulate,tích lũy,verb,4,积累经验。,Tích lũy kinh nghiệm.
激烈,jīliè,intense,kịch liệt,adjective,4,激烈竞争。,Cạnh tranh kịch liệt.
即将,jíjiāng,soon,sắp,adverb,4,即将开始。,Sắp bắt đầu.
记录,jìlù,record,ghi lại,verb,4,记录数据。,Ghi lại dữ liệu.
技术,jìshù,technology,kỹ thuật,noun,4,技术发展。,Phát triển kỹ thuật.
价值,jiàzhí,value,giá trị,noun,4,经济价值。,Giá trị kinh tế.
建立,jiànlì,to establish,xây dựng,verb,4,建立关系。,Xây dựng quan hệ.
建设,jiànshè,construction,xây dựng,noun,4,城市建设。,Xây dựng thành phố.
建筑,jiànzhù,architecture,kiến trúc,noun,4,现代建筑。,Kiến trúc hiện đại.
交通,jiāotōng,transportation,giao thông,noun,4,交通便利。,Giao thông thuận tiện.
交往,jiāowǎng,to interact,giao tiếp,verb,4,人际交往。,Giao tiếp giữa người.
教育,jiàoyù,education,giáo dục,noun,4,教育事业。,Sự nghiệp giáo dục.
接受,jiēshòu,to accept,chấp nhận,verb,4,接受挑战。,Chấp nhận thử thách.
节约,jiéyuē,to save,tiết kiệm,verb,4,节约能源。,Tiết kiệm năng lượng.
解决,jiějué,to solve,giải quyết,verb,4,解决问题。,Giải quyết vấn đề.
解释,jiěshì,to explain,giải thích,verb,4,解释原因。,Giải thích nguyên nhân.
紧张,jǐnzhāng,nervous,căng thẳng,adjective,4,很紧张。,Rất căng thẳng.
进行,jìnxíng,to carry out,tiến hành,verb,4,进行谈话。,Tiến hành đàm thoại.
禁止,jìnzhǐ,to prohibit,cấm,verb,4,禁止吸烟。,Cấm hút thuốc.
经理,jīnglǐ,manager,giám đốc,noun,4,部门经理。,Giám đốc bộ phận.
经历,jīnglì,experience,kinh nghiệm,noun,4,工作经历。,Kinh nghiệm làm việc.
竞争,jìngzhēng,competition,cạnh tranh,noun,4,市场竞争。,Cạnh tranh thị trường.
纠正,jiūzhèng,to correct,sửa chữa,verb,4,纠正错误。,Sửa chữa sai lầm.
究竟,jiūjìng,actually,rốt cuộc,adverb,4,究竟是谁？,Rốt cuộc là ai?
居住,jūzhù,to reside,cư trú,verb,4,居住环境。,Môi trường cư trú.
举办,jǔbàn,to hold,tổ chức,verb,4,举办展览。,Tổ chức triển lãm.
巨大,jùdà,huge,khổng lồ,adjective,4,巨大变化。,Thay đổi khổng lồ.
具有,jùyǒu,to possess,có,verb,4,具有意义。,Có ý nghĩa.
距离,jùlí,distance,khoảng cách,noun,4,距离很远。,Khoảng cách rất xa.
开发,kāifā,to develop,khai thác,verb,4,开发资源。,Khai thác tài nguyên.
开放,kāifàng,to open,mở cửa,verb,4,对外开放。,Mở cửa với bên ngoài.
开辟,kāipì,to open up,mở ra,verb,4,开辟市场。,Mở ra thị trường.
看法,kànfǎ,view,cách nhìn,noun,4,我的看法。,Cách nhìn của tôi.
考虑,kǎolǜ,to consider,cân nhắc,verb,4,考虑一下。,Cân nhắc một chút.
考试,kǎoshì,exam,thi cử,noun,4,参加考试。,Tham gia thi cử.
科学,kēxué,science,khoa học,noun,4,科学进步。,Tiến bộ khoa học.
可靠,kěkào,reliable,đáng tin cậy,adjective,4,可靠消息。,Tin tức đáng tin cậy.
可能,kěnéng,possible,có thể,adjective,4,可能的情况。,Tình huống có thể.
可是,kěshì,but,nhưng,conjunction,4,可是我不知道。,Nhưng tôi không biết.
渴望,kěwàng,to long for,khao khát,verb,4,渴望成功。,Khao khát thành công.
客户,kèhù,customer,khách hàng,noun,4,重要客户。,Khách hàng quan trọng.
空间,kōngjiān,space,không gian,noun,4,生活空间。,Không gian sống.
控制,kòngzhì,to control,kiểm soát,verb,4,控制成本。,Kiểm soát chi phí.
口音,kǒuyīn,accent,giọng nói,noun,4,有口音。,Có giọng.
苦难,kǔnàn,suffering,khổ nạn,noun,4,经历苦难。,Trải qua khổ nạn.
扩大,kuòdà,to expand,mở rộng,verb,4,扩大生产。,Mở rộng sản xuất.
浪费,làngfèi,to waste,lãng phí,verb,4,浪费时间。,Lãng phí thời gian.
老大爷,lǎodàye,old man,ông lão,noun,4,一位老大爷。,Một ông lão.
老奶奶,lǎonǎinai,old woman,bà lão,noun,4,一位老奶奶。,Một bà lão.
乐观,lèguān,optimistic,lạc quan,adjective,4,乐观态度。,Thái độ lạc quan.
理由,lǐyóu,reason,lý do,noun,4,什么理由？,Lý do gì?
力量,lìliang,strength,sức mạnh,noun,4,团结力量。,Sức mạnh đoàn kết.
利润,lìrùn,profit,lợi nhuận,noun,4,获得利润。,Thu được lợi nhuận.
利益,lìyì,interest,lợi ích,noun,4,共同利益。,Lợi ích chung.
利用,lìyòng,to utilize,lợi dụng,verb,4,利用资源。,Sử dụng tài nguyên.
粮食,liángshi,grain,lương thực,noun,4,粮食生产。,Sản xuất lương thực.
临时,línshí,temporary,tạm thời,adjective,4,临时措施。,Biện pháp tạm thời.
灵活,línghuó,flexible,linh hoạt,adjective,4,灵活处理。,Xử lý linh hoạt.
领先,lǐngxiān,to lead,dẫn đầu,verb,4,领先地位。,Vị trí dẫn đầu.
流传,liúchuán,to spread,lưu truyền,verb,4,流传下来。,Lưu truyền lại.
露,lòu,to reveal,lộ ra,verb,4,露出笑容。,Lộ ra nụ cười.
旅游,lǚyóu,tourism,du lịch,noun,4,发展旅游。,Phát triển du lịch.
律师,lǜshī,lawyer,luật sư,noun,4,请律师。,Mời luật sư.
满足,mǎnzú,to satisfy,thỏa mãn,verb,4,满足需求。,Thỏa mãn nhu cầu.
冒险,màoxiǎn,to take risks,mạo hiểm,verb,4,冒险精神。,Tinh thần mạo hiểm.
贸易,màoyì,trade,mậu dịch,noun,4,国际贸易。,Mậu dịch quốc tế.
媒体,méitǐ,media,phương tiện truyền thông,noun,4,新闻媒体。,Truyền thông tin tức.
矛盾,máodùn,contradiction,mâu thuẫn,noun,4,产生矛盾。,Nảy sinh mâu thuẫn.
民主,mínzhǔ,democracy,dân chủ,noun,4,社会主义民主。,Dân chủ xã hội chủ nghĩa.
目的,mùdì,purpose,mục đích,noun,4,最终目的。,Mục đích cuối cùng.
目前,mùqián,at present,hiện tại,noun,4,目前情况。,Tình hình hiện tại.
耐心,nàixīn,patience,kiên nhẫn,noun,4,有耐心。,Có kiên nhẫn.
难道,nándào,could it be that,chẳng lẽ,adverb,4,难道你不知道？,Chẳng lẽ bạn không biết?
难得,nándé,rare,khó có,adjective,4,难得的机会。,Cơ hội khó có.
难受,nánshòu,uncomfortable,khó chịu,adjective,4,很难受。,Rất khó chịu.
内部,nèibù,internal,nội bộ,noun,4,内部事务。,Sự vụ nội bộ.
能力,nénglì,ability,năng lực,noun,4,工作能力。,Năng lực làm việc.
年代,niándài,era,thời đại,noun,4,战争年代。,Thời đại chiến tranh.
农村,nóngcūn,countryside,nông thôn,noun,4,农村生活。,Cuộc sống nông thôn.
女士,nǚshì,lady,quý bà,noun,4,各位女士。,Các quý bà.
偶然,ǒurán,by chance,tình cờ,adverb,4,偶然发现。,Tình cờ phát hiện.
排除,páichú,to eliminate,loại trừ,verb,4,排除困难。,Loại trừ khó khăn.
判断,pànduàn,to judge,phán đoán,verb,4,判断对错。,Phán đoán đúng sai.
培养,péiyǎng,to cultivate,bồi dưỡng,verb,4,培养人才。,Bồi dưỡng nhân tài.
赔偿,péicháng,to compensate,bồi thường,verb,4,赔偿损失。,Bồi thường tổn thất.
批准,pīzhǔn,to approve,phê duyệt,verb,4,批准计划。,Phê duyệt kế hoạch.
普遍,pǔbiàn,universal,phổ biến,adjective,4,普遍现象。,Hiện tượng phổ biến.
期待,qīdài,to expect,kỳ vọng,verb,4,期待成功。,Kỳ vọng thành công.
奇迹,qíjì,miracle,kỳ tích,noun,4,创造奇迹。,Tạo ra kỳ tích.
企业,qǐyè,enterprise,doanh nghiệp,noun,4,中小企业。,Doanh nghiệp vừa và nhỏ.
气氛,qìfēn,atmosphere,bầu không khí,noun,4,活跃气氛。,Bầu không khí sôi động.
气候,qìhòu,climate,khí hậu,noun,4,气候变化。,Biến đổi khí hậu.
千万,qiānwàn,ten million,ngàn vạn,number,4,千万别去。,Ngàn vạn đừng đi.
前景,qiánjǐng,prospect,triển vọng,noun,4,发展前景。,Triển vọng phát triển.
强调,qiángdiào,to emphasize,nhấn mạnh,verb,4,强调重点。,Nhấn mạnh trọng điểm.
强烈,qiángliè,strong,mạnh mẽ,adjective,4,强烈反对。,Phản đối mạnh mẽ.
侵略,qīnlüè,to invade,xâm lược,verb,4,侵略战争。,Chiến tranh xâm lược.
亲自,qīnzì,in person,tự mình,adverb,4,亲自去。,Tự mình đi.
情况,qíngkuàng,situation,tình hình,noun,4,实际情况。,Tình hình thực tế.
情绪,qíngxù,emotion,tình cảm,noun,4,情绪稳定。,Tình cảm ổn định.
取消,qǔxiāo,to cancel,hủy bỏ,verb,4,取消订单。,Hủy đơn hàng.
全面,quánmiàn,comprehensive,toàn diện,adjective,4,全面发展。,Phát triển toàn diện.
缺乏,quēfá,to lack,thiếu,verb,4,缺乏经验。,Thiếu kinh nghiệm.
确定,quèdìng,to determine,xác định,verb,4,确定时间。,Xác định thời gian.
群众,qúnzhòng,the masses,quần chúng,noun,4,人民群众。,Nhân dân quần chúng.
然而,rán'ér,however,tuy nhiên,conjunction,4,然而不容易。,Tuy nhiên không dễ.
热烈,rèliè,warm,nhiệt liệt,adjective,4,热烈欢迎。,Chào mừng nhiệt liệt.
人才,réncái,talent,nhân tài,noun,4,培养人才。,Bồi dưỡng nhân tài.
人口,rénkǒu,population,dân số,noun,4,人口增长。,Tăng dân số.
人民,rénmín,people,nhân dân,noun,4,为人民服务。,Phục vụ nhân dân.
人生,rénshēng,life,đời người,noun,4,人生哲学。,Triết lý đời người.
认为,rènwéi,to consider,cho rằng,verb,4,我认为。,Tôi cho rằng.
任何,rènhé,any,bất kỳ,determiner,4,任何人。,Bất kỳ ai.
日常,rìcháng,daily,hàng ngày,adjective,4,日常生活。,Sinh hoạt hàng ngày.
商业,shāngyè,commerce,thương mại,noun,4,商业中心。,Trung tâm thương mại.
