title,description,hskLevel,duration,views,sourceType,sourceUrl
"[Tây Du Ký] 2: Thủy Liêm Động",Video hsk5,5,06:28,10367,youtube,https://youtube.com/embed/
"[Tây Du Ký] 3: Bồ Đề Tổ Sư",Video hsk5,5,06:38,1898,youtube,https://youtube.com/embed/
"Mang danh thiếu niên, tiến bước chinh phục ước mơ",Video hsk6,6,04:10,8506,audio,https://youtube.com/embed/
"Nửa sau cuộc đời: Học cách yêu chiều bản thân",Video hsk4,4,01:49,6850,audio,https://youtube.com/embed/
"Cuộc đời đáng sống, tương lai đầy hứa hẹn",Video hsk4,4,02:36,6553,audio,https://youtube.com/embed/
"Phép thuật xanh",Video hsk4,4,01:40,6705,audio,https://youtube.com/embed/
"Lựa Chọn Trên Cầu Nại Hà",Video hsk4,4,01:32,14604,audio,https://youtube.com/embed/
"Hiếu Nữ Tào Nga",Video hsk5,5,01:13,8504,audio,https://youtube.com/embed/
"Vũ Sư Xích Tùng Tử",Video hsk4,4,00:55,11774,audio,https://youtube.com/embed/
"Trí giả cưỡi thanh ngưu",Video hsk6,6,02:33,13509,audio,https://youtube.com/embed/
"Công cụ thiết yếu để nâng cao hiệu suất làm việc",Video hsk5,5,01:02,6568,audio,https://youtube.com/embed/
"Mẹo xanh trong công việc",Video hsk4,4,00:59,8871,audio,https://youtube.com/embed/
"Giải đáp các vấn đề được quan tâm nhất",Video hsk4,4,02:38,10715,audio,https://youtube.com/embed/
"Chuyện khởi nghiệp của một bạn trẻ",Video hsk4,4,01:58,2217,audio,https://youtube.com/embed/
"Quyển 1 bài 1",Video hsk1,1,00:19,9074,audio,https://youtube.com/embed/
"Quyển 1 bài 2",Video hsk1,1,00:22,13754,audio,https://youtube.com/embed/
"Quyển 1 bài 3",Video hsk2,2,00:46,8282,audio,https://youtube.com/embed/
"Quyển 1 bài 4",Video hsk1,1,00:47,9188,audio,https://youtube.com/embed/
"[A Tị và Tiểu Linh Đang] Tâm can nhỏ bé: Trăng không ngủ bạn cũng không ngủ, khi bạn khuyên đối phương đi ngủ thì...",Video hsk5,5,01:06,3747,youtube,https://youtube.com/embed/
"[A Tị và Tiểu Linh Đang] Mẹ nó à: Điều con gái mong muốn chẳng qua chỉ là được ở bên người mình yêu, từ sớm mai đến hoàng hôn, từ thuở thiếu niên đến lúc bạc đầu～",Video hsk6,6,01:01,15227,youtube,https://youtube.com/embed/
"(A Tị và Tiểu Linh Đang) Kem: Mùa đông chính là mùa ăn kem!",Video hsk4,4,01:44,8528,youtube,https://youtube.com/embed/
"[A Tị và Tiểu Linh Đang] Một đời: Cả đời của A Tị VS cả đời của Tiểu Linh Đang",Video hsk5,5,01:30,12862,youtube,https://youtube.com/embed/
"Bạn học mới",Video hsk3,3,01:44,15056,audio,https://youtube.com/embed/
"Âm nhạc là bạn thân tôi",Video hsk2,2,01:26,2894,audio,https://youtube.com/embed/
"Gọi điện xin nghỉ phép",Video hsk2,2,01:14,11306,audio,https://youtube.com/embed/
"Mua váy",Video hsk4,4,02:12,3397,audio,https://youtube.com/embed/
"Chiếc ô nhỏ xíu đó",Video hsk4,4,01:55,3563,audio,https://youtube.com/embed/
"Vũ khí bí mật thất bại",Video hsk5,5,01:39,6822,audio,https://youtube.com/embed/
"Chiếc điện thoại trên xe buýt",Video hsk3,3,01:18,15183,audio,https://youtube.com/embed/
"Hơi lo trễ",Video hsk2,2,01:14,2728,audio,https://youtube.com/embed/
"Đồ chơi Vịt Psyduck KFC giá sốt hơn 1000 tệ, tháo ra xem có đáng tiền không?",Video hsk6,6,05:39,9269,youtube,https://youtube.com/embed/
"[Wei-Chuan TV] Nguồn gốc thèm ăn",Video hsk6,6,01:45,8632,youtube,https://youtube.com/embed/
"Hệ thống năng lượng mới Trạm Tần Lĩnh Nam Cực chính thức vận hành | CCTV Tiếng Trung \""Tin tức trực tiếp\""",Video hsk7,7,02:11,12358,youtube,https://youtube.com/embed/
"Tôi vậy mà bắt đầu mê một máy chơi game có giá chỉ hơn 10 nhân dân tệ.",Video hsk5,5,02:49,13109,youtube,https://youtube.com/embed/
"Bứt phá trên hành trình tìm việc [Tập 3: Cách Tăng Điểm Nhờ Tự Giới Thiệu Và Tự Thuật?!]Với 邵庭 và 阿本",Video hsk6,6,01:01,10704,youtube,https://youtube.com/embed/
"Bứt phá trên hành trình tìm việc | Phần 1: Làm Tốt Cơ Bản | Thiệu Đình X A Bổn",Video hsk5,5,01:01,9542,youtube,https://youtube.com/embed/
"Những phương pháp phỏng vấn khiến người khác phải kinh ngạc - Văn phòng Loser",Video hsk4,4,02:12,4281,youtube,https://youtube.com/embed/
"BBC Tiếng Trung Video: Điểm tin công nghệ tuần",Video hsk6,6,02:50,7007,youtube,https://youtube.com/embed/
"Video BBC Tiếng Trung: Điểm tin nghệ thuật trong tuần",Video hsk6,6,02:35,10159,youtube,https://youtube.com/embed/
"Đại hội Đầu bếp Món ăn Trung Quốc Toàn cầu Tân Đường Nhân 2009",Video hsk7,7,01:31,12697,youtube,https://youtube.com/embed/
"Video BBC Tiếng Trung: Lâu đài Scotland rực rỡ sắc màu",Video hsk6,6,00:58,9607,youtube,https://youtube.com/embed/
"Video BBC Tiếng Trung: Triển lãm giáo dục đại học Anh",Video hsk5,5,01:28,2035,youtube,https://youtube.com/embed/
"🔥 Món ngon mùa đông: Thịt xông khói xào măng đông | Bạn đã thử chưa? Măng non, thịt thơm, dễ làm, món đưa cơm!",Video hsk5,5,03:01,11098,youtube,https://youtube.com/embed/
"Làm chân giò khô nồi siêu bắt cơm chỉ 3 bước: Thơm lừng, mềm dẻo, thấm vị, kèm công thức sốt khô đơn giản.",Video hsk6,6,03:01,2073,youtube,https://youtube.com/embed/
"Trứng ốp la thịt băm xào nấm mỡ sốt đậm đà, giòn ngoài mềm trong, mỗi miếng ngập sốt.",Video hsk5,5,03:01,2661,youtube,https://youtube.com/embed/
"Thịt băm xào đậu que muối chua: Vị chua sảng khoái, ăn hết 3 bát cơm lúc nào không hay!",Video hsk5,5,03:01,6351,youtube,https://youtube.com/embed/
"Thử thách chạy hết tốc lực với giày bật nhảy! An toàn có giúp chạy nhanh hơn? 【一鸣探险家】",Video hsk5,5,05:26,11777,youtube,https://youtube.com/embed/
"Hơn 1000 tệ chế tạo máy đánh thức hoàn toàn tự động! Sáng dậy hú vía.",Video hsk6,6,04:05,9874,youtube,https://youtube.com/embed/
"Homestay rẻ nhất Nhật Bản! Ở trong đó thật ngột ngạt.",Video hsk5,5,04:03,12361,youtube,https://youtube.com/embed/
"Thử thách uống nước mương thối có giun nhúc nhích!",Video hsk5,5,05:30,9725,youtube,https://youtube.com/embed/
"Cảm vấn lộ tại hà phương?",Video hsk6,6,05:08,7836,youtube,https://youtube.com/embed/
"Một Đường Nở Hoa",Video hsk6,6,04:17,12489,youtube,https://youtube.com/embed/
"Đại Tử - Bạch Nguyệt Quang và Nốt Chu S 【Lyrics động】「Vầng trăng sáng đang chiếu rọi, anh mới nhớ ra cô ấy tốt đẹp nhường nào」♪",Video hsk6,6,03:25,15180,youtube,https://youtube.com/embed/
"Cô Phương Tự Thưởng",Video hsk5,5,04:29,6231,youtube,https://youtube.com/embed/
"Lam Nhất Thoát Hiểm: Thử thách \""Một tỉa một lựu đạn\"", xa bắn tỉa, gần oanh tạc!",Video hsk6,6,04:20,5854,youtube,https://youtube.com/embed/
"Lan Yi Thoát Hiểm: Fan nghèo nàn, thiếu tinh linh, khởi đầu đã nổ 'Lam Béo Đỏ', quá thảm",Video hsk6,6,03:20,14661,youtube,https://youtube.com/embed/
"Thoát Hiểm Lam Nhất: Đen đủi nhất lịch sử, hai ván hạ mười người, không nổ đồ đỏ nào.",Video hsk6,6,03:30,5433,youtube,https://youtube.com/embed/
"Lan Yi Sinh Tồn: Gì cơ? Cày Cung Bùng Nổ còn có giờ vàng? Nghe nói giờ này dễ ra lắm!",Video hsk6,6,04:44,11810,youtube,https://youtube.com/embed/
"春意藏夏初长，各种果子冒泡泡，原来人心果与鸡爪子很般配",Video hsk4,4,03:51,8412,youtube,https://youtube.com/embed/
"Ve hè ngân không ngớt, nồng nàn lãng mạn. Gỏi hải sản khổ qua khô: hải sản ngọt tươi, khổ qua giải nhiệt.",Video hsk4,4,04:18,13670,youtube,https://youtube.com/embed/
"Đậu đũa đỏ trĩu đồng, hái làm dưa chua giòn, hương vị hè Quảng Tây khó cưỡng.",Video hsk5,5,04:03,4083,youtube,https://youtube.com/embed/
"Sắn củ màu đất, lột vỏ trắng ngần như ngọc. Bánh chiên, chè sắn, thơm giòn dẻo mịn, thanh mát.",Video hsk5,5,05:25,10289,youtube,https://youtube.com/embed/
"DictationShadowingBé say mê nói tiếng Trung cùng Robot2,050HSK4youtube01:35",Video hsk2,2,00:57,10561,youtube,https://youtube.com/embed/
"DictationShadowing[Truyện đơn] Nhìn bên trái, nhìn bên phải3,219HSK1youtube01:01",Video hsk3,3,01:23,10087,youtube,https://youtube.com/embed/
"DictationShadowingGiữ bình tĩnh dưới áp lực - Noa Kageyama và Pen-Pen Chen6,178HSK6youtube05:55",Video hsk6,6,04:22,12921,youtube,https://youtube.com/embed/
"DictationShadowingHội chứng kẻ mạo danh là gì và cách vượt qua nó? - Elizabeth Cox5,093HSK6youtube04:50",Video hsk6,6,04:19,7579,youtube,https://youtube.com/embed/
"DictationShadowing【Ba tôi là rồng】Bí quyết kiếm tiền nhẹ nhàng... 6,375HSK6youtube01:22",Video hsk4,4,00:36,7772,youtube,https://youtube.com/embed/
"DictationShadowing【Bố tôi là rồng】Những việc phải làm trước khi đi làm!4,023HSK6youtube01:38",Video hsk5,5,02:16,5437,youtube,https://youtube.com/embed/
"DictationShadowingHoạt hình siêu hài [ Tây Du Ngốc Nghếch] Ngưu Miêu Vương: Không ổn rồi, Na Tra đến cứu Đường Tăng rồi!! 4,623HSK6youtube01:02",Video hsk6,6,02:01,12112,youtube,https://youtube.com/embed/
"5",Video hsk6,6,02:4,6891,youtube,https://youtube.com/embed/
"2",Video hsk6,6,01:1,4574,youtube,https://youtube.com/embed/
"DictationShadowing[Tây Du Ký] Tập 12: Cá cược3,334HSK6youtube06:50",Video hsk6,6,06:11,6858,youtube,https://youtube.com/embed/
"DictationShadowing[Tây Du Ký] 2: Thủy Liêm Động1,898HSK5youtube06:38",Video hsk5,5,06:28,10367,youtube,https://youtube.com/embed/
"DictationShadowingMang danh thiếu niên, tiến bước chinh phục ước mơ6,850HSK4audio01:49",Video hsk6,6,04:10,8506,audio,https://youtube.com/embed/
"DictationShadowingCuộc đời đáng sống, tương lai đầy hứa hẹn6,705HSK4audio01:40",Video hsk4,4,02:36,6553,audio,https://youtube.com/embed/
"DictationShadowingLựa Chọn Trên Cầu Nại Hà8,504HSK5audio01:13",Video hsk4,4,01:32,14604,audio,https://youtube.com/embed/
"DictationShadowingVũ Sư Xích Tùng Tử13,509HSK6audio02:33",Video hsk4,4,00:55,11774,audio,https://youtube.com/embed/
"DictationShadowingCông cụ thiết yếu để nâng cao hiệu suất làm việc8,871HSK4audio00:59",Video hsk5,5,01:02,6568,audio,https://youtube.com/embed/
"DictationShadowingGiải đáp các vấn đề được quan tâm nhất2,217HSK4audio01:58",Video hsk4,4,02:38,10715,audio,https://youtube.com/embed/
"DictationShadowingQuyển 1 bài 113,754HSK1audio00:22",Video hsk1,1,00:19,9074,audio,https://youtube.com/embed/
"DictationShadowingQuyển 1 bài 39,188HSK1audio00:47",Video hsk2,2,00:46,28282,audio,https://youtube.com/embed/
"DictationShadowing[A Tị và Tiểu Linh Đang] Tâm can nhỏ bé: Trăng không ngủ bạn cũng không ngủ, khi bạn khuyên đối phương đi ngủ thì...15,227HSK6youtube01:01",Video hsk5,5,01:06,3747,youtube,https://youtube.com/embed/
"DictationShadowing(A Tị và Tiểu Linh Đang) Kem: Mùa đông chính là mùa ăn kem!12,862HSK5youtube01:30",Video hsk4,4,01:44,8528,youtube,https://youtube.com/embed/
"DictationShadowingBạn học mới2,894HSK2audio01:26",Video hsk3,3,01:44,15056,audio,https://youtube.com/embed/
"DictationShadowingGọi điện xin nghỉ phép3,397HSK4audio02:12",Video hsk2,2,01:14,11306,audio,https://youtube.com/embed/
"DictationShadowingChiếc ô nhỏ xíu đó6,822HSK5audio01:39",Video hsk4,4,01:55,3563,audio,https://youtube.com/embed/
"DictationShadowingChiếc điện thoại trên xe buýt2,728HSK2audio01:14",Video hsk3,3,01:18,15183,audio,https://youtube.com/embed/
"DictationShadowingĐồ chơi Vịt Psyduck KFC giá sốt hơn 1000 tệ, tháo ra xem có đáng tiền không?8,632HSK6youtube01:45",Video hsk6,6,05:39,9269,youtube,https://youtube.com/embed/
"DictationShadowingHệ thống năng lượng mới Trạm Tần Lĩnh Nam Cực chính thức vận hành | CCTV Tiếng Trung \""Tin tức trực tiếp\""13,109HSK5youtube02:49",Video hsk7,7,02:11,12358,youtube,https://youtube.com/embed/
"DictationShadowingBứt phá trên hành trình tìm việc [Tập 3: Cách Tăng Điểm Nhờ Tự Giới Thiệu Và Tự Thuật?!]Với 邵庭 và 阿本9,542HSK5youtube01:01",Video hsk6,6,01:01,10704,youtube,https://youtube.com/embed/
"DictationShadowingNhững phương pháp phỏng vấn khiến người khác phải kinh ngạc - Văn phòng Loser7,007HSK6youtube02:50",Video hsk4,4,02:12,4281,youtube,https://youtube.com/embed/
"DictationShadowingVideo BBC Tiếng Trung: Điểm tin nghệ thuật trong tuần12,697HSK7youtube01:31",Video hsk6,6,02:35,10159,youtube,https://youtube.com/embed/
"DictationShadowingVideo BBC Tiếng Trung: Lâu đài Scotland rực rỡ sắc màu2,035HSK5youtube01:28",Video hsk6,6,00:58,20099607,youtube,https://youtube.com/embed/
"DictationShadowing🔥 Món ngon mùa đông: Thịt xông khói xào măng đông | Bạn đã thử chưa? Măng non, thịt thơm, dễ làm, món đưa cơm!2,073HSK6youtube03:01",Video hsk5,5,03:01,11098,youtube,https://youtube.com/embed/
"DictationShadowingTrứng ốp la thịt băm xào nấm mỡ sốt đậm đà, giòn ngoài mềm trong, mỗi miếng ngập sốt.6,351HSK5youtube03:01",Video hsk5,5,03:01,2661,youtube,https://youtube.com/embed/
"DictationShadowingThử thách chạy hết tốc lực với giày bật nhảy! An toàn có giúp chạy nhanh hơn? 【一鸣探险家】9,874HSK6youtube04:05",Video hsk5,5,05:26,11777,youtube,https://youtube.com/embed/
"DictationShadowingHomestay rẻ nhất Nhật Bản! Ở trong đó thật ngột ngạt.9,725HSK5youtube05:30",Video hsk5,5,04:03,12361,youtube,https://youtube.com/embed/
"DictationShadowingCảm vấn lộ tại hà phương?12,489HSK6youtube04:17",Video hsk6,6,05:08,7836,youtube,https://youtube.com/embed/
"DictationShadowingĐại Tử - Bạch Nguyệt Quang và Nốt Chu S 【Lyrics động】「Vầng trăng sáng đang chiếu rọi, anh mới nhớ ra cô ấy tốt đẹp nhường nào」♪6,231HSK5youtube04:29",Video hsk6,6,03:25,15180,youtube,https://youtube.com/embed/
"DictationShadowingLam Nhất Thoát Hiểm: Thử thách \""Một tỉa một lựu đạn\"", xa bắn tỉa, gần oanh tạc!14,661HSK6youtube03:20",Video hsk6,6,04:20,5854,youtube,https://youtube.com/embed/
"DictationShadowingThoát Hiểm Lam Nhất: Đen đủi nhất lịch sử, hai ván hạ mười người, không nổ đồ đỏ nào.11,810HSK6youtube04:44",Video hsk6,6,03:30,5433,youtube,https://youtube.com/embed/
"DictationShadowing春意藏夏初长，各种果子冒泡泡，原来人心果与鸡爪子很般配13,670HSK4youtube04:18",Video hsk4,4,03:51,8412,youtube,https://youtube.com/embed/
"DictationShadowingĐậu đũa đỏ trĩu đồng, hái làm dưa chua giòn, hương vị hè Quảng Tây khó cưỡng.10,289HSK5youtube05:25",Video hsk5,5,04:03,4083,youtube,https://youtube.com/embed/
