simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
总是,zǒngshì,always,lúc nào cũng,adverb,2,总是迟到。,Lúc nào cũng muộn.
常常,chángcháng,often,thường xuyên,adverb,2,常常去。,Thường xuyên đi.
突然,tūrán,suddenly,đột nhiên,adverb,2,突然下雨。,Đột nhiên mưa.
其实,qíshí,actually,thực ra,adverb,2,其实我不懂。,Thực ra tôi không hiểu.
当然,dāngrán,of course,tất nhiên,adverb,2,当然可以。,Tất nhiên là được.
必须,bìxū,must,phải,adverb,2,必须去。,Phải đi.
大概,dàgài,probably,khoảng,adverb,2,大概十点。,Khoảng 10 giờ.
一共,yígòng,in total,tổng cộng,adverb,2,一共多少钱？,Tổng cộng bao nhiêu?
互相,hùxiāng,each other,lẫn nhau,adverb,2,互相帮助。,Giúp đỡ lẫn nhau.
特别,tèbié,especially,đặc biệt,adverb,2,特别好。,Đặc biệt tốt.
比较,bǐjiào,comparatively,tương đối,adverb,2,比较好。,Tương đối tốt.
十分,shífēn,extremely,vô cùng,adverb,2,十分满意。,Vô cùng hài lòng.
越来越,yuèláiyuè,more and more,ngày càng,adverb,2,越来越好。,Ngày càng tốt.
虽然但是,suīrándànshì,although but,mặc dù nhưng,conjunction,2,虽然累但是开心。,Mặc dù mệt nhưng vui.
因为所以,yīnwèisuǒyǐ,because so,vì nên,conjunction,2,因为下雨所以不去。,Vì mưa nên không đi.
如果就,rúguǒjiù,if then,nếu thì,conjunction,2,如果你来我就去。,Nếu bạn đến thì tôi đi.
除了,chúle,except,ngoại trừ,preposition,2,除了你以外还有谁？,Ngoài bạn ra còn ai?
一些,yìxiē,some,một ít,measure,2,一些水果。,Một ít trái cây.
一点,yìdiǎn,a little,một chút,measure,2,一点盐。,Một chút muối.
次,cì,time (frequency),lần,measure,2,一次。,Một lần.
下,xià,a little,một chút,measure,2,等一下。,Chờ một chút.
种,zhǒng,kind,loại,measure,2,这种。,Loại này.
件,jiàn,piece (clothing),chiếc,measure,2,一件衣服。,Một chiếc áo.
条,tiáo,strip (long objects),cái (vật dài),measure,2,一条鱼。,Một con cá.
双,shuāng,pair,đôi,measure,2,一双鞋。,Một đôi giày.
只,zhī,one of a pair,con (vật),measure,2,一只猫。,Một con mèo.
把,bǎ,handle (measure),cái (vật có cán),measure,2,一把伞。,Một cái ô.
张,zhāng,flat objects,tờ,measure,2,一张纸。,Một tờ giấy.
本,běn,volume (book),cuốn,measure,2,一本书。,Một cuốn sách.
辆,liàng,vehicle,chiếc (xe),measure,2,一辆车。,Một chiếc xe.
上午,shàngwǔ,morning,buổi sáng,noun,2,上午九点。,9 giờ sáng.
下午,xiàwǔ,afternoon,buổi chiều,noun,2,下午两点。,2 giờ chiều.
周末,zhōumò,weekend,cuối tuần,noun,2,周末快乐！,Cuối tuần vui vẻ！
生日,shēngrì,birthday,sinh nhật,noun,2,生日快乐！,Chúc mừng sinh nhật！
礼物,lǐwù,gift,quà tặng,noun,2,谢谢礼物！,Cảm ơn món quà！
颜色,yánsè,color,màu sắc,noun,2,你喜欢的颜色？,Màu sắc bạn thích？
动物,dòngwù,animal,động vật,noun,2,我喜欢动物。,Tôi thích động vật.
城市,chéngshì,city,thành phố,noun,2,大城市。,Thành phố lớn.
国家,guójiā,country,quốc gia,noun,2,哪个国家？,Nước nào?
语言,yǔyán,language,ngôn ngữ,noun,2,学语言。,Học ngôn ngữ.
意思,yìsi,meaning,ý nghĩa,noun,2,什么意思？,Ý nghĩa gì?
问题,wèntí,question/problem,vấn đề,noun,2,没问题！,Không vấn đề！
事情,shìqing,thing/matter,việc,noun,2,有事情吗？,Có việc gì không?
地方,dìfang,place,nơi chốn,noun,2,好地方。,Nơi tốt.
路,lù,road,đường,noun,2,走路。,Đi bộ.
号码,hàomǎ,number,số,noun,2,电话号码。,Số điện thoại.
价格,jiàgé,price,giá cả,noun,2,价格多少？,Giá bao nhiêu?
考试,kǎoshì,exam,bài thi,noun,2,考试很难。,Bài thi rất khó.
公园,gōngyuán,park,công viên,noun,2,去公园。,Đi công viên.
商店,shāngdiàn,shop,cửa hàng,noun,2,商店开门。,Cửa hàng mở cửa.
医院,yīyuàn,hospital,bệnh viện,noun,2,去医院。,Đi bệnh viện.
银行,yínháng,bank,ngân hàng,noun,2,去银行。,Đi ngân hàng.
邮局,yóujú,post office,bưu điện,noun,2,去邮局。,Đi bưu điện.
酒店,jiǔdiàn,hotel,khách sạn,noun,2,住酒店。,Ở khách sạn.
飞机场,fēijīchǎng,airport,sân bay,noun,2,去飞机场。,Đi sân bay.
火车站,huǒchēzhàn,train station,ga tàu,noun,2,去火车站。,Đi ga tàu.
办公室,bàngōngshì,office,văn phòng,noun,2,在办公室。,Ở văn phòng.
教室,jiàoshì,classroom,phòng học,noun,2,在教室上课。,Học trong phòng học.
黑板,hēibǎn,blackboard,bảng đen,noun,2,看黑板。,Nhìn bảng đen.
书包,shūbāo,schoolbag,cặp sách,noun,2,新书包。,Cặp sách mới.
铅笔,qiānbǐ,pencil,bút chì,noun,2,一支铅笔。,Một cây bút chì.
词典,cídiǎn,dictionary,từ điển,noun,2,查词典。,Tra từ điển.
地图,dìtú,map,bản đồ,noun,2,看地图。,Xem bản đồ.
报纸,bàozhǐ,newspaper,báo,noun,2,看报纸。,Đọc báo.
杂志,zázhì,magazine,tạp chí,noun,2,看杂志。,Đọc tạp chí.
电话,diànhuà,telephone,điện thoại,noun,2,打电话。,Gọi điện thoại.
空调,kōngtiáo,air conditioner,máy lạnh,noun,2,开空调。,Mở máy lạnh.
冰箱,bīngxiāng,fridge,tủ lạnh,noun,2,冰箱里有牛奶。,Trong tủ lạnh có sữa.
洗衣机,xǐyījī,washing machine,máy giặt,noun,2,用洗衣机。,Dùng máy giặt.
沙发,shāfā,sofa,ghế sô pha,noun,2,坐沙发。,Ngồi ghế sô pha.
筷子,kuàizi,chopsticks,đũa,noun,2,用筷子吃饭。,Ăn cơm bằng đũa.
碗,wǎn,bowl,bát,noun,2,一个碗。,Một cái bát.
杯子,bēizi,cup,cốc,noun,2,一个杯子。,Một cái cốc.
盘子,pánzi,plate,đĩa,noun,2,一个盘子。,Một cái đĩa.
窗户,chuānghù,window,cửa sổ,noun,2,开窗户。,Mở cửa sổ.
护照,hùzhào,passport,hộ chiếu,noun,2,办护照。,Làm hộ chiếu.
签证,qiānzhèng,visa,thị thực,noun,2,办签证。,Làm visa.
地址,dìzhǐ,address,địa chỉ,noun,2,你的地址？,Địa chỉ của bạn?
邮件,yóujiàn,mail,thư,noun,2,发邮件。,Gửi thư.
快递,kuàidì,express delivery,chuyển phát,noun,2,寄快递。,Gửi chuyển phát.
故事,gùshì,story,câu chuyện,noun,2,讲故事。,Kể chuyện.
笑话,xiàohua,joke,chuyện cười,noun,2,说笑话。,Nói chuyện cười.
区别,qūbié,difference,sự khác biệt,noun,2,有区别。,Có sự khác biệt.
变化,biànhuà,change,thay đổi,noun,2,有变化。,Có thay đổi.
世界,shìjiè,world,thế giới,noun,2,全世界。,Toàn thế giới.
山,shān,mountain,núi,noun,2,爬山。,Leo núi.
河,hé,river,sông,noun,2,过河。,Qua sông.
海,hǎi,sea,biển,noun,2,看海。,Ngắm biển.
树,shù,tree,cây,noun,2,一棵树。,Một cái cây.
花,huā,flower,hoa,noun,2,一朵花。,Một bông hoa.
鸟,niǎo,bird,chim,noun,2,一只鸟。,Một con chim.
鱼,yú,fish,cá,noun,2,一条鱼。,Một con cá.
狗,gǒu,dog,chó,noun,2,一只狗。,Một con chó.
猫,māo,cat,mèo,noun,2,一只猫。,Một con mèo.
春天,chūntiān,spring,mùa xuân,noun,2,春天来了。,Mùa xuân đến.
夏天,xiàtiān,summer,mùa hè,noun,2,夏天很热。,Mùa hè nóng.
秋天,qiūtiān,autumn,mùa thu,noun,2,秋天凉快。,Mùa thu mát.
冬天,dōngtiān,winter,mùa đông,noun,2,冬天很冷。,Mùa đông lạnh.
季节,jìjié,season,mùa,noun,2,四个季节。,Bốn mùa.
刮风,guāfēng,windy,có gió,verb,2,刮风了。,Có gió rồi.
下雨,xiàyǔ,rain,mưa,verb,2,下雨了。,Mưa rồi.
下雪,xiàxuě,snow,tuyết,verb,2,下雪了。,Tuyết rơi.
晴天,qíngtiān,sunny,trời nắng,noun,2,今天是晴天。,Hôm nay nắng.
阴天,yīntiān,cloudy,trời âm u,noun,2,明天阴天。,Ngày mai âm u.
暖和,nuǎnhuo,warm,ấm áp,adjective,2,天气暖和。,Thời tiết ấm.
凉快,liángkuai,cool,mát mẻ,adjective,2,凉快了。,Mát rồi.
中国,zhōngguó,China,Trung Quốc,noun,2,去中国。,Đi Trung Quốc.
美国,měiguó,America,Mỹ,noun,2,去美国。,Đi Mỹ.
英国,yīngguó,UK,Anh,noun,2,去英国。,Đi Anh.
法国,fǎguó,France,Pháp,noun,2,去法国。,Đi Pháp.
日本,rìběn,Japan,Nhật,noun,2,去日本。,Đi Nhật.
韩国,hánguó,Korea,Hàn Quốc,noun,2,去韩国。,Đi Hàn.
越南,yuènán,Vietnam,Việt Nam,noun,2,越南人。,Người Việt Nam.
中文,zhōngwén,Chinese,tiếng Trung,noun,2,学中文。,Học tiếng Trung.
英文,yīngwén,English,tiếng Anh,noun,2,学英文。,Học tiếng Anh.
包子,bāozi,steamed bun,bánh bao,noun,2,吃肉包子。,Bánh bao nhân thịt.
饺子,jiǎozi,dumplings,sủi cảo,noun,2,吃饺子。,Ăn sủi cảo.
面条,miàntiáo,noodles,mì,noun,2,吃面条。,Ăn mì.
蛋糕,dàngāo,cake,bánh ngọt,noun,2,生日蛋糕。,Bánh sinh nhật.
汤,tāng,soup,canh,noun,2,喝汤。,Uống canh.
糖,táng,candy,kẹo,noun,2,吃糖。,Ăn kẹo.
油,yóu,oil,dầu,noun,2,炒菜用油。,Xào dùng dầu.
盐,yán,salt,muối,noun,2,放盐。,Bỏ muối.
旁边,pángbiān,side,bên cạnh,noun,2,坐在旁边。,Ngồi bên cạnh.
中间,zhōngjiān,middle,ở giữa,noun,2,在中间。,Ở giữa.
外面,wàimiàn,outside,bên ngoài,noun,2,在外面。,Bên ngoài.
里面,lǐmiàn,inside,bên trong,noun,2,在里面。,Bên trong.
前面,qiánmiàn,front,phía trước,noun,2,在前面。,Phía trước.
后面,hòumiàn,back,phía sau,noun,2,在后面。,Phía sau.
上面,shàngmiàn,on top,phía trên,noun,2,在桌子上。,Trên bàn.
下面,xiàmiàn,below,phía dưới,noun,2,在下面。,Phía dưới.
左边,zuǒbiān,left,bên trái,noun,2,在左边。,Bên trái.
右边,yòubiān,right,bên phải,noun,2,在右边。,Bên phải.
南方,nánfāng,south,miền nam,noun,2,南方。,Miền nam.
北方,běifāng,north,miền bắc,noun,2,北方。,Miền bắc.
钥匙,yàoshi,key,chìa khóa,noun,2,一把钥匙。,Một chìa khóa.
电梯,diàntī,elevator,thang máy,noun,2,坐电梯。,Đi thang máy.
楼梯,lóutī,stairs,cầu thang,noun,2,走楼梯。,Đi cầu thang.
冰箱,bīngxiāng,fridge,tủ lạnh,noun,2,冰箱里有牛奶。,Tủ lạnh có sữa.
洗衣机,xǐyījī,washing machine,máy giặt,noun,2,洗衣机。,Máy giặt.
空调,kōngtiáo,AC,máy lạnh,noun,2,开空调。,Mở máy lạnh.
沙发,shāfā,sofa,ghế,noun,2,坐沙发。,Ngồi ghế.
