simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
范围,fànwéi,scope,phạm vi,noun,5,活动范围。,Phạm vi hoạt động.
领域,lǐngyù,field/lĩnh vực,lĩnh vực,noun,5,研究领域。,Lĩnh vực nghiên cứu.
行业,hángyè,industry,ngành nghề,noun,5,服务行业。,Ngành dịch vụ.
产业,hángyè,industry,sản nghiệp,noun,5,产业发展。,Phát triển sản nghiệp.
市场,shìchǎng,market,thị trường,noun,5,市场调查。,Khảo sát thị trường.
战略,zhànlüè,strategy,chiến lược,noun,5,发展战略。,Chiến lược phát triển.
策略,cèlüè,tactics,sách lược,noun,5,营销策略。,Sách lược tiếp thị.
方案,fāng'àn,plan/phương án,phương án,noun,5,设计方案。,Phương án thiết kế.
措施,cuòshī,measure,biện pháp,noun,5,采取措施。,Áp dụng biện pháp.
渠道,qúdào,channel,kênh,noun,5,销售渠道。,Kênh bán hàng.
环节,huánjié,link/khâu,khâu,noun,5,关键环节。,Khâu then chốt.
流程,liúchéng,process,quy trình,noun,5,工作流程。,Quy trình làm việc.
环节,huánjié,lianjie,khâu,noun,5,重要环节。,Khâu quan trọng.
阶段,jiēduàn,stage/phase,giai đoạn,noun,5,发展阶段。,Giai đoạn phát triển.
时期,shíqī,period,thời kỳ,noun,5,关键时期。,Thời kỳ then chốt.
趋势,qūshì,trend,xu hướng,noun,5,发展趋势。,Xu hướng phát triển.
前景,qiánjǐng,prospect,triển vọng,noun,5,市场前景。,Triển vọng thị trường.
规模,guīmó,scale,quy mô,noun,5,大规模。,Quy mô lớn.
幅度,fúdù,range/phạm vi,phạm vi,noun,5,增长幅度。,Phạm vi tăng trưởng.
程度,chéngdù,degree,mức độ,noun,5,不同程度。,Mức độ khác nhau.
速度,sùdù,speed,tốc độ,noun,5,发展速度。,Tốc độ phát triển.
频率,pínlǜ,frequency,tần suất,noun,5,使用频率。,Tần suất sử dụng.
比重,bǐzhòng,proportion,tỷ trọng,noun,5,经济比重。,Tỷ trọng kinh tế.
比例,bǐlì,ratio,tỷ lệ,noun,5,同比增长。,Tăng trưởng cùng kỳ.
预算,yùsuàn,budget,ngân sách,noun,5,财政预算。,Ngân sách tài chính.
赤字,yùsuàn,deficit,thâm hụt,noun,5,财政赤字。,Thâm hụt tài chính.
债务,zhàiwù,debt,nợ,noun,5,偿还债务。,Trả nợ.
资产,zīchǎn,asset,tài sản,noun,5,资产管理。,Quản lý tài sản.
股份,gǔfèn,stock,cổ phần,noun,5,股份公司。,Công ty cổ phần.
证券,zhèngquàn,securities,chứng khoán,noun,5,证券市场。,Thị trường chứng khoán.
保险,bǎoxiǎn,insurance,bảo hiểm,noun,5,医疗保险。,Bảo hiểm y tế.
税务,shuìwù,taxation,thuế vụ,noun,5,税务管理。,Quản lý thuế vụ.
海关,hǎiguān,customs,hải quan,noun,5,海关检查。,Kiểm tra hải quan.
出口,chūkǒu,export,xuất khẩu,verb,5,出口贸易。,Xuất khẩu thương mại.
进口,jìnkǒu,import,nhập khẩu,verb,5,进口商品。,Nhập khẩu hàng hóa.
贸易,màoyì,trade,thương mại,noun,5,国际贸易。,Thương mại quốc tế.
谈判,tánpàn,negotiation,đàm phán,noun,5,贸易谈判。,Đàm phán thương mại.
合同,hétong,contract,hợp đồng,noun,5,签订合同。,Ký kết hợp đồng.
协议,xiéyì,agreement,hiệp định,noun,5,达成协议。,Đạt hiệp định.
条款,tiáokuǎn,clause/điều khoản,điều khoản,noun,5,合同条款。,Điều khoản hợp đồng.
产权,chǎnquán,property right,quyền sở hữu,noun,5,知识产权。,Quyền sở hữu trí tuệ.
专利,zhuānlì,patent,bằng sáng chế,noun,5,申请专利。,Đăng ký bằng sáng chế.
商标,shāngbiāo,trademark,nhãn hiệu,noun,5,注册商标。,Đăng ký nhãn hiệu.
品牌,pǐnpái,brand,thương hiệu,noun,5,品牌建设。,Xây dựng thương hiệu.
广告,guǎnggào,advertisement,quảng cáo,noun,5,广告宣传。,Tuyên truyền quảng cáo.
媒体,méitǐ,media,phương tiện truyền thông,noun,5,社交媒体。,Truyền thông xã hội.
宣传,xuānchuán,propaganda,tuyên truyền,verb,5,宣传活动。,Hoạt động tuyên truyền.
舆论,yúlùn,public opinion,dư luận,noun,5,舆论监督。,Giám sát dư luận.
哀悼,āidào,to mourn,thương tiếc,verb,5,表示哀悼。,Tỏ lòng thương tiếc.
爱护,àihù,to cherish,yêu quý,verb,5,爱护公物。,Yêu quý của công.
爱人,àirén,spouse,người yêu,noun,5,我的爱人。,Người yêu của tôi.
暗淡,àndàn,dim,tối tăm,adjective,5,暗淡无光。,Tối tăm không ánh sáng.
案例,ànlì,case,trường hợp,noun,5,案例分析。,Phân tích trường hợp.
把握,bǎwò,to grasp,nắm bắt,verb,5,把握机会。,Nắm bắt cơ hội.
摆脱,bǎituō,to get rid of,thoát khỏi,verb,5,摆脱困境。,Thoát khỏi khó khăn.
颁布,bānbù,to promulgate,ban hành,verb,5,颁布法律。,Ban hành luật.
版本,bǎnběn,version,phiên bản,noun,5,最新版本。,Phiên bản mới nhất.
帮忙,bāngmáng,to help,giúp đỡ,verb,5,帮忙解决问题。,Giúp giải quyết vấn đề.
榜样,bǎngyàng,role model,tấm gương,noun,5,学习榜样。,Tấm gương học tập.
包含,bāohán,to contain,bao hàm,verb,5,包含很多内容。,Bao hàm nhiều nội dung.
保守,bǎoshǒu,conservative,bảo thủ,adjective,5,保守思想。,Tư tưởng bảo thủ.
保险,bǎoxiǎn,insurance,bảo hiểm,noun,5,买保险。,Mua bảo hiểm.
保障,bǎozhàng,to guarantee,bảo đảm,verb,5,保障权益。,Bảo đảm quyền lợi.
报酬,bàochou,reward,thù lao,noun,5,劳动报酬。,Thù lao lao động.
悲哀,bēiāi,sorrow,đau buồn,adjective,5,感到悲哀。,Cảm thấy đau buồn.
背景,bèijǐng,background,bối cảnh,noun,5,历史背景。,Bối cảnh lịch sử.
背叛,bèipàn,to betray,phản bội,verb,5,背叛朋友。,Phản bội bạn bè.
被动,bèidòng,passive,bị động,adjective,5,被动局面。,Cục diện bị động.
崩溃,bēngkuì,to collapse,sụp đổ,verb,5,经济崩溃。,Kinh tế sụp đổ.
本质,běnzhì,essence,bản chất,noun,5,本质问题。,Vấn đề bản chất.
比例,bǐlì,proportion,tỷ lệ,noun,5,按比例分配。,Phân phối theo tỷ lệ.
彼此,bǐcǐ,each other,lẫn nhau,pronoun,5,彼此了解。,Hiểu nhau.
毕竟,bìjìng,after all,rốt cuộc,adverb,5,毕竟不同。,Rốt cuộc khác nhau.
避免,bìmiǎn,to avoid,tránh,verb,5,避免错误。,Tránh sai lầm.
编辑,biānjí,to edit,biên tập,verb,5,编辑文章。,Biên tập bài viết.
鞭策,biāncè,to spur,thúc đẩy,verb,5,鞭策自己。,Thúc đẩy bản thân.
变革,biàngé,transformation,biến cách,noun,5,社会变革。,Biến cách xã hội.
辩论,biànlùn,to debate,tranh luận,verb,5,进行辩论。,Tiến hành tranh luận.
标志,biāozhì,symbol,biểu tượng,noun,5,交通标志。,Biểu tượng giao thông.
表达,biǎodá,to express,biểu đạt,verb,5,表达情感。,Biểu đạt tình cảm.
表明,biǎomíng,to indicate,cho thấy,verb,5,表明态度。,Cho thấy thái độ.
表扬,biǎoyáng,to praise,khen ngợi,verb,5,表扬学生。,Khen ngợi học sinh.
病人,bìngrén,patient,bệnh nhân,noun,5,照顾病人。,Chăm sóc bệnh nhân.
波动,bōdòng,fluctuation,dao động,verb,5,价格波动。,Giá dao động.
剥削,bōxuē,exploitation,bóc lột,noun,5,反对剥削。,Chống bóc lột.
玻璃,bōli,glass,thủy tinh,noun,5,玻璃杯。,Ly thủy tinh.
补充,bǔchōng,to supplement,bổ sung,verb,5,补充营养。,Bổ sung dinh dưỡng.
补偿,bǔcháng,to compensate,đền bù,verb,5,经济补偿。,Đền bù kinh tế.
不安,bùān,uneasy,bất an,adjective,5,感到不安。,Cảm thấy bất an.
不断,bùduàn,unceasing,không ngừng,adverb,5,不断变化。,Không ngừng thay đổi.
不平等,bùpíngděng,inequality,bất bình đẳng,noun,5,社会不平等。,Bất bình đẳng xã hội.
材料,cáiliào,material,tài liệu,noun,5,建筑材料。,Vật liệu xây dựng.
财务,cáiwù,finance,tài chính,noun,5,财务管理。,Quản lý tài chính.
财政,cáizhèng,public finance,tài chính công,noun,5,财政政策。,Chính sách tài chính.
采取,cǎiqǔ,to adopt,áp dụng,verb,5,采取措施。,Áp dụng biện pháp.
参与,cānyù,to participate,tham gia,verb,5,参与活动。,Tham gia hoạt động.
残酷,cánkù,cruel,tàn khốc,adjective,5,残酷现实。,Hiện thực tàn khốc.
灿烂,cànlàn,brilliant,rực rỡ,adjective,5,灿烂的阳光。,Ánh nắng rực rỡ.
草案,cǎoàn,draft,bản thảo,noun,5,法律草案。,Bản thảo luật.
测量,cèliáng,to measure,đo lường,verb,5,测量数据。,Đo lường dữ liệu.
策略,cèlüè,strategy,chiến lược,noun,5,制定策略。,Định ra chiến lược.
层次,céngcì,level,tầng lớp,noun,5,不同层次。,Tầng lớp khác nhau.
差别,chābié,difference,khác biệt,noun,5,文化差别。,Khác biệt văn hóa.
拆除,chāichú,to demolish,phá dỡ,verb,5,拆除旧房。,Phá dỡ nhà cũ.
产品,chǎnpǐn,product,sản phẩm,noun,5,产品质量。,Chất lượng sản phẩm.
产生,chǎnshēng,to produce,sản sinh,verb,5,产生影响。,Sản sinh ảnh hưởng.
长期,chángqī,long-term,dài hạn,adjective,5,长期计划。,Kế hoạch dài hạn.
畅通,chàngtōng,unblocked,thông suốt,adjective,5,交通畅通。,Giao thông thông suốt.
超越,chāoyuè,to surpass,vượt qua,verb,5,超越自我。,Vượt qua bản thân.
潮流,cháoliú,trend,xu hướng,noun,5,时代潮流。,Xu hướng thời đại.
潮湿,cháoshī,damp,ẩm ướt,adjective,5,空气潮湿。,Không khí ẩm ướt.
吵架,chǎojià,to quarrel,cãi nhau,verb,5,吵架不好。,Cãi nhau không tốt.
彻底,chèdǐ,thorough,triệt để,adjective,5,彻底解决。,Giải quyết triệt để.
沉默,chénmò,silent,im lặng,adjective,5,保持沉默。,Giữ im lặng.
沉重,chénzhòng,heavy,nặng nề,adjective,5,心情沉重。,Tâm trạng nặng nề.
称赞,chēngzàn,to praise,khen ngợi,verb,5,称赞对方。,Khen ngợi đối phương.
成就,chéngjiù,achievement,thành tựu,noun,5,取得成就。,Đạt được thành tựu.
成立,chénglì,to establish,thành lập,verb,5,成立公司。,Thành lập công ty.
成果,chéngguǒ,result,kết quả,noun,5,研究成果。,Kết quả nghiên cứu.
成熟,chéngshú,mature,trưởng thành,adjective,5,成熟稳重。,Trưởng thành ổn trọng.
成员,chéngyuán,member,thành viên,noun,5,家庭成员。,Thành viên gia đình.
程度,chéngdù,degree,mức độ,noun,5,一定程度。,Mức độ nhất định.
充当,chōngdāng,to act as,đóng vai,verb,5,充当翻译。,Đóng vai phiên dịch.
重复,chóngfù,to repeat,lặp lại,verb,5,重复一遍。,Lặp lại một lần.
崇拜,chóngbài,to worship,sùng bái,verb,5,崇拜偶像。,Sùng bái thần tượng.
崇高,chónggāo,lofty,cao cả,adjective,5,崇高理想。,Lý tưởng cao cả.
抽象,chōuxiàng,abstract,trừu tượng,adjective,5,抽象概念。,Khái niệm trừu tượng.
出版,chūbǎn,to publish,xuất bản,verb,5,出版社。,Nhà xuất bản.
出口,chūkǒu,export,xuất khẩu,verb,5,出口贸易。,Xuất khẩu thương mại.
出色,chūsè,outstanding,xuất sắc,adjective,5,出色表现。,Thể hiện xuất sắc.
储蓄,chǔxù,to save,tiết kiệm,verb,5,储蓄存款。,Tiền gửi tiết kiệm.
传统,chuántǒng,tradition,truyền thống,noun,5,传统文化。,Văn hóa truyền thống.
创新,chuàngxīn,innovation,sáng tạo,noun,5,技术创新。,Sáng tạo kỹ thuật.
创业,chuàngyè,to start a business,khởi nghiệp,verb,5,自主创业。,Tự chủ khởi nghiệp.
创造,chuàngzào,to create,sáng tạo,verb,5,创造价值。,Sáng tạo giá trị.
垂直,chuízhí,vertical,thẳng đứng,adjective,5,垂直线。,Đường thẳng đứng.
纯洁,chúnjié,pure,thuần khiết,adjective,5,纯洁的爱情。,Tình yêu thuần khiết.
词汇,cíhuì,vocabulary,từ vựng,noun,5,学习词汇。,Học từ vựng.
辞职,cízhí,to resign,từ chức,verb,5,辞职信。,Đơn từ chức.
从此,cóngcǐ,from then on,từ đó,adverb,5,从此以后。,Từ đó về sau.
从事,cóngshì,to engage in,làm,verb,5,从事教育。,Làm giáo dục.
粗糙,cūcāo,rough,thô ráp,adjective,5,手感粗糙。,Sờ thấy thô ráp.
促进,cùjìn,to promote,thúc đẩy,verb,5,促进发展。,Thúc đẩy phát triển.
措施,cuòshī,measure,biện pháp,noun,5,安全措施。,Biện pháp an toàn.
挫折,cuòzhé,frustration,thất bại,noun,5,遇到挫折。,Gặp thất bại.
打算,dǎsuàn,to plan,dự định,verb,5,打算去北京。,Dự định đi Bắc Kinh.
